Freq (hertz)	Ra (norm)	Xa (norm)	Za (norm)	SPL (dB)	Ze (ohms)	Xd (mm) 	WPhase (deg)	UPhase (deg)	CPhase (deg)	Delay (msec)	Efficiency (%)	Ein (volts)	Pin (watts)	Iin (amps)	ZePhase (deg)
65.112534	0.010172	0.551434	0.551527	94.112074	33.668392	0.498133	76.402883	76.402883	76.402883	5.554876	11.077125	2.830000	0.141083	0.084055	-53.623057
66.050449	0.011122	0.565068	0.565177	94.489827	29.427385	0.488952	74.514114	74.514114	74.514114	5.633509	11.006564	2.830000	0.154891	0.096169	-55.311096
67.001875	0.012192	0.579364	0.579492	94.871588	26.025734	0.479441	72.570348	72.570348	72.570348	5.717197	10.883435	2.830000	0.171036	0.108739	-56.234280
67.967006	0.013403	0.594383	0.594534	95.257412	23.256990	0.469585	70.568574	70.568574	70.568574	5.806303	10.729078	2.830000	0.189615	0.121684	-56.590286
68.946038	0.014779	0.610193	0.610372	95.647339	20.971204	0.459366	68.505546	68.505546	68.505546	5.901210	10.561456	2.830000	0.210719	0.134947	-56.511744
69.939174	0.016347	0.626870	0.627083	96.041390	19.059522	0.448764	66.377770	66.377770	66.377770	6.002321	10.394875	2.830000	0.234431	0.148482	-56.089580
70.946615	0.018142	0.644502	0.644757	96.439561	17.442185	0.437760	64.181483	64.181483	64.181483	6.110056	10.240263	2.830000	0.260819	0.162250	-55.387389
71.968567	0.020208	0.663191	0.663498	96.841817	16.059976	0.426330	61.912635	61.912635	61.912635	6.224845	10.105729	2.830000	0.289940	0.176214	-54.450414
73.005241	0.022596	0.683052	0.683425	97.248089	14.868316	0.414452	59.566879	59.566879	59.566879	6.347127	9.997190	2.830000	0.321829	0.190338	-53.311269
74.056847	0.025371	0.704220	0.704677	97.658261	13.833183	0.402103	57.139549	57.139549	57.139549	6.477337	9.918965	2.830000	0.356496	0.204581	-51.993671
75.123601	0.028616	0.726851	0.727414	98.072165	12.928282	0.389258	54.625656	54.625656	54.625656	6.615895	9.874288	2.830000	0.393917	0.218900	-50.514943
76.205721	0.032431	0.751127	0.751827	98.489569	12.133068	0.375892	52.019881	52.019881	52.019881	6.763188	9.865726	2.830000	0.434032	0.233247	-48.887722
77.303429	0.036947	0.777264	0.778142	98.910163	11.431329	0.361979	49.316578	49.316578	49.316578	6.919551	9.895512	2.830000	0.476730	0.247565	-47.121175
78.416948	0.042333	0.805513	0.806625	99.333548	10.810179	0.347496	46.509789	46.509789	46.509789	7.085235	9.965808	2.830000	0.521839	0.261790	-45.221877
79.546508	0.048805	0.836174	0.837597	99.759216	10.259323	0.332421	43.593270	43.593270	43.593270	7.260373	10.078914	2.830000	0.569118	0.275847	-43.194482
80.692338	0.056648	0.869602	0.871445	100.186538	9.770516	0.316733	40.560543	40.560543	40.560543	7.444932	10.237445	2.830000	0.618239	0.289647	-41.042260
81.854673	0.066242	0.906221	0.908639	100.614737	9.337165	0.300421	37.404968	37.404968	37.404968	7.638659	10.444479	2.830000	0.668777	0.303090	-38.767554
